,freq,ift,ifft
0,0,1.45717e-016,0
1,37.5,0.544639,0.544639
2,75,0.913545,0.913545
3,112.5,0.987688,0.987688
4,150,0.743145,0.743145
5,187.5,0.258819,0.258819
6,225,-0.309017,-0.309017
7,262.5,-0.777146,-0.777146
8,300,-0.994522,-0.994522
9,337.5,-0.891006,-0.891006
10,375,-0.5,-0.5
11,412.5,0.0523361,0.0523361
12,450,0.587785,0.587785
13,487.5,0.93358,0.93358
14,525,0.978148,0.978148
15,562.5,0.707107,0.707107
16,600,0.207911,0.207911
17,637.5,-0.358368,-0.358368
18,675,-0.809017,-0.809017
19,712.5,-0.99863,-0.99863
20,750,-0.866025,-0.866025
21,787.5,-0.45399,-0.45399
22,825,0.104529,0.104529
23,862.5,0.629321,0.629321
24,900,0.951057,0.951057
25,937.5,0.965926,0.965926
26,975,0.66913,0.66913
27,1012.5,0.156434,0.156434
28,1050,-0.406737,-0.406737
29,1087.5,-0.838671,-0.838671
30,1125,-1,-1
31,1162.5,-0.83867,-0.83867
32,1200,-0.406736,-0.406736
33,1237.5,0.156435,0.156435
34,1275,0.669131,0.669131
35,1312.5,0.965926,0.965926
36,1350,0.951056,0.951056
37,1387.5,0.62932,0.62932
38,1425,0.104528,0.104528
39,1462.5,-0.453991,-0.453991
40,1500,-0.866026,-0.866026
41,1537.5,-0.99863,-0.99863
42,1575,-0.809017,-0.809017
43,1612.5,-0.358367,-0.358367
44,1650,0.207912,0.207912
45,1687.5,0.707107,0.707107
46,1725,0.978148,0.978148
47,1762.5,0.93358,0.93358
48,1800,0.587785,0.587785
49,1837.5,0.0523353,0.0523353
50,1875,-0.500001,-0.500001
51,1912.5,-0.891007,-0.891007
52,1950,-0.994522,-0.994522
53,1987.5,-0.777145,-0.777145
54,2025,-0.309016,-0.309016
55,2062.5,0.25882,0.25882
56,2100,0.743145,0.743145
57,2137.5,0.987688,0.987688
58,2175,0.913545,0.913545
59,2212.5,0.544638,0.544638
60,2250,-8.36789e-007,-8.36789e-007
61,2287.5,-0.54464,-0.54464
62,2325,-0.913546,-0.913546
63,2362.5,-0.987688,-0.987688
64,2400,-0.743144,-0.743144
65,2437.5,-0.258818,-0.258818
66,2475,0.309018,0.309018
67,2512.5,0.777147,0.777147
68,2550,0.994522,0.994522
69,2587.5,0.891006,0.891006
70,2625,0.499999,0.499999
71,2662.5,-0.0523369,-0.0523369
72,2700,-0.587786,-0.587786
73,2737.5,-0.933581,-0.933581
74,2775,-0.978147,-0.978147
75,2812.5,-0.707106,-0.707106
76,2850,-0.207911,-0.207911
77,2887.5,0.358369,0.358369
78,2925,0.809018,0.809018
79,2962.5,0.99863,0.99863
80,3000,0.866025,0.866025
81,3037.5,0.453989,0.453989
82,3075,-0.10453,-0.10453
83,3112.5,-0.629321,-0.629321
84,3150,-0.951057,-0.951057
85,3187.5,-0.965926,-0.965926
86,3225,-0.66913,-0.66913
87,3262.5,-0.156433,-0.156433
88,3300,0.406738,0.406738
89,3337.5,0.838671,0.838671
90,3375,1,1
91,3412.5,0.83867,0.83867
92,3450,0.406735,0.406735
93,3487.5,-0.156436,-0.156436
94,3525,-0.669132,-0.669132
95,3562.5,-0.965926,-0.965926
96,3600,-0.951056,-0.951056
97,3637.5,-0.629319,-0.629319
98,3675,-0.104527,-0.104527
99,3712.5,0.453992,0.453992
100,3750,0.866026,0.866026
101,3787.5,0.998629,0.998629
102,3825,0.809016,0.809016
103,3862.5,0.358367,0.358367
104,3900,-0.207913,-0.207913
105,3937.5,-0.707108,-0.707108
106,3975,-0.978148,-0.978148
107,4012.5,-0.93358,-0.93358
108,4050,-0.587784,-0.587784
109,4087.5,-0.0523344,-0.0523344
110,4125,0.500001,0.500001
111,4162.5,0.891007,0.891007
112,4200,0.994522,0.994522
113,4237.5,0.777145,0.777145
114,4275,0.309015,0.309015
115,4312.5,-0.258821,-0.258821
116,4350,-0.743146,-0.743146
117,4387.5,-0.987689,-0.987689
118,4425,-0.913545,-0.913545
119,4462.5,-0.544638,-0.544638
120,4500,1.67358e-006,1.67358e-006
121,4537.5,0.54464,0.54464
122,4575,0.913546,0.913546
123,4612.5,0.987688,0.987688
124,4650,0.743144,0.743144
125,4687.5,0.258817,0.258817
126,4725,-0.309019,-0.309019
127,4762.5,-0.777147,-0.777147
